0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;55000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;55000;2;340000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;55000;2;340000;3;90000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;55000;2;340000;3;90000;4;42000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;55000;2;340000;3;90000;4;42000;5;99000
0;0;0;0;0;0;0;0;0;0;0;0;1;55000;2;340000;3;90000;4;42000;5;99000;6;89000
0;0;0;0;0;0;0;0;0;0;1;55000;2;340000;3;90000;4;42000;5;99000;6;89000;7;107000
0;0;0;0;0;0;0;0;1;55000;2;340000;3;90000;4;42000;5;99000;6;89000;7;107000;8;145000
0;0;0;0;0;0;1;55000;2;340000;3;90000;4;42000;5;99000;6;89000;7;107000;8;145000;9;267000
0;0;0;0;1;55000;2;340000;3;90000;4;42000;5;99000;6;89000;7;107000;8;145000;9;267000;10;321000
0;0;1;55000;2;340000;3;90000;4;42000;5;99000;6;89000;7;107000;8;145000;9;267000;10;321000;11;388000
1;55000;2;340000;3;90000;4;42000;5;99000;6;89000;7;107000;8;145000;9;267000;10;321000;11;388000;12;93000
2;340000;3;90000;4;42000;5;99000;6;89000;7;107000;8;145000;9;267000;10;321000;11;388000;12;93000;13;84000
3;90000;4;42000;5;99000;6;89000;7;107000;8;145000;9;267000;10;321000;11;388000;12;93000;13;84000;14;43000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;64000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;64000;2;180000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;64000;2;180000;3;156000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;64000;2;180000;3;156000;4;46000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;64000;2;180000;3;156000;4;46000;5;60000
0;0;0;0;0;0;0;0;0;0;0;0;1;64000;2;180000;3;156000;4;46000;5;60000;6;49000
0;0;0;0;0;0;0;0;0;0;1;64000;2;180000;3;156000;4;46000;5;60000;6;49000;7;120000
0;0;0;0;0;0;0;0;1;64000;2;180000;3;156000;4;46000;5;60000;6;49000;7;120000;8;137000
0;0;0;0;0;0;1;64000;2;180000;3;156000;4;46000;5;60000;6;49000;7;120000;8;137000;9;120000
0;0;0;0;1;64000;2;180000;3;156000;4;46000;5;60000;6;49000;7;120000;8;137000;9;120000;10;461000
0;0;1;64000;2;180000;3;156000;4;46000;5;60000;6;49000;7;120000;8;137000;9;120000;10;461000;11;166000
1;64000;2;180000;3;156000;4;46000;5;60000;6;49000;7;120000;8;137000;9;120000;10;461000;11;166000;12;77000
2;180000;3;156000;4;46000;5;60000;6;49000;7;120000;8;137000;9;120000;10;461000;11;166000;12;77000;13;61000
3;156000;4;46000;5;60000;6;49000;7;120000;8;137000;9;120000;10;461000;11;166000;12;77000;13;61000;14;31000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;86000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;86000;2;133000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;86000;2;133000;3;115000
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;86000;2;133000;3;115000;4;44000
